id,timestamp,station,pm25,pm10,no2,so2,o3,co,temperature,humidity,aqi
11,2026-03-28 02:00:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",134,87,16.9,4.2,4.1,,,,
12,2026-03-28 02:00:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",134,87,16.9,4.2,4.1,,,,
13,2026-03-28 03:00:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",138,85,16.6,3.6,3.5,,,,
14,2026-03-28 04:00:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",137,80,18.9,3.5,2.9,,,,
15,2026-03-28 05:00:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",155,80,17.8,4.2,3.2,,,,
16,2026-03-28 08:00:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",200,136,17.2,6.1,4.2,,,,
17,2026-03-28 10:00:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",187,121,18.7,10.2,21.4,,,,
18,2026-03-28 12:00:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",156,92,12,10.3,42.3,,,,
19,2026-03-28 12:00:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",156,92,12,10.3,42.3,,,,
20,2026-03-28 13:00:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",152,89,11.3,9.5,46.6,,,,
21,2026-03-28 14:00:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",135,76,11.4,8.4,49.9,,,,
22,2026-03-28 15:00:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",104,72,11.1,8,50.9,,,,
23,2026-03-28 15:00:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",104,72,11.1,8,50.9,,,,
24,2026-03-28 16:00:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",97,74,10.9,8.3,49.9,,,,
25,2026-03-28 10:30:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",97,74,10.9,8.3,49.9,10,30.4333333333333,34.3333333333333,97
26,2026-03-28 10:30:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",97,74,10.9,8.3,49.9,10,30.4333333333333,34.3333333333333,97
27,2026-03-28 11:30:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",97,74,11,8,41.2,9.5,30.325,34.475,97
28,2026-03-28 11:30:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",97,74,11,8,41.2,9.5,29.8,34.2,97
29,2026-03-28 12:30:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",82,68,10.5,5.7,37.9,9.8,28.65,36.4,82
30,2026-03-28 13:30:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",63,63,13.4,5.3,30.3,11.3,27.6,41.6,63
31,2026-03-28 14:30:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",96,87,20.6,7.4,13.2,14.1,27.125,43,96
32,2026-03-28 14:30:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",96,87,20.6,7.4,13.2,14.1,26.95,43.55,96
33,2026-03-28 15:30:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",158,133,26.6,12.3,6.5,17.7,26.625,44.45,158
34,2026-03-28 15:30:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",158,133,26.6,12.3,6.5,17.7,25.45,48.45,158
35,2026-03-28 16:30:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",172,171,30.1,10.3,2.8,18.7,25.1,51.2,172
36,2026-03-28 17:30:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",167,171,29.8,36.9,15.4,20.4,25,52.3,171
37,2026-03-28 18:30:00,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",193,197,27.4,18.5,11.6,21.4,23.975,57.075,197
